tank_id,longitude,latitude
T1,-89.82476916,35.37649025
T2,-89.73790176,35.37666645
T3,-89.65308244,35.1769605
T4,-89.76882122,35.20368955
T5,-89.8101857,35.011881
T6,-90.04502627,35.33225869
